groups;annee;mois;jour;code_commune;commune.x;surface_ha;type_vegetation;lieu_de_stockage;masse_tonne_matiere_seche;source;rmq;date;datemj;commune.y;lat;lon
agri_fire;2002;7;16;85035;Bretignolles-sur-Mer;2,000;champ;NA;NA;ouest France;NA;2002-07-16;07-16;LA BRETONNIERE-LA-CLAYE;46,4879459421;-1,267734265450000
agri_fire;2002;7;17;72128;Évaillé;2,000;recolte;NA;NA;ouest France;NA;2002-07-17;07-17;EVAILLE;47,9002296748;0,626909662566000
agri_fire;2002;7;27;44096;Mésanger;2,000;paille;NA;NA;ouest France;NA;2002-07-27;07-27;MESANGER;47,4288834101;-1,225833901190000
agri_fire;2002;7;29;53095;Épineux-le-Seguin;1,000;chaume;NA;NA;ouest France;NA;2002-07-29;07-29;EPINEUX-LE-SEGUIN;47,9418002250;-0,350865340153000
agri_fire;2002;7;29;72259;Rouperroux-le-Coquet;3,000;paille;NA;NA;ouest France;NA;2002-07-29;07-29;ROUPERROUX-LE-COQUET;48,2293569796;0,438592972489000
agri_fire;2002;7;29;72022;Le Bailleul;3,000;prairie;NA;NA;ouest France;NA;2002-07-29;07-29;LE BAILLEUL;47,7724310115;-0,179561724396000
agri_fire;2002;8;4;85213;Rives-de-l’Yon (Saint-Florent-des-Bois);NA;foin_paille;hangar;NA;ouest France;NA;2002-08-04;08-04;SAINTE-FOY;46,5327600427;-1,692430747330000
agri_fire;2002;8;10;85262;Saint-Philbert-de-Bouaine;NA;foin_paille;hangar;120,0;ouest France;NA;2002-08-10;08-10;SAINT-PIERRE-DU-CHEMIN;46,6957771744;-0,701777715154000
agri_fire;2002;8;10;44164;Saint-Hilaire-de-Chaléons;NA;foin_paille;hangar;200,0;ouest France;NA;2002-08-10;08-10;SAINT-HILAIRE-DE-CHALEONS;47,0958948849;-1,879836379670000
agri_fire;2002;8;14;44027;Casson;NA;foin_paille;hangar;200,0;ouest France;NA;2002-08-14;08-14;CASSON;47,3920308092;-1,555737188050000
agri_fire;2002;8;16;61167;Anceins;1,000;chaume;NA;NA;ouest France;NA;2002-08-16;08-16;LA FERTE-FRENEL;48,8362459554;0,508544741133000
agri_fire;2002;8;16;61331;Le Plantis;1,000;paille;NA;NA;ouest France;NA;2002-08-16;08-16;LE PLANTIS;48,6037546825;0,397038776409000
agri_fire;2002;8;17;35085;Combourg;NA;foin_paille;hangar;95,0;ouest France;NA;2002-08-17;08-17;COMBOURG;48,4083560805;-1,745194350190000
agri_fire;2002;8;19;61100;la Chapelle-Viel;50,000;cereale;NA;NA;ouest France;NA;2002-08-19;08-19;LA CHAPELLE-VIEL;48,7099526297;0,612218004614000
agri_fire;2002;8;22;53052;champfrémont;7,000;broussaille;NA;NA;ouest France;NA;2002-08-22;08-22;CHAMPFREMONT;48,4329079781;-0,104054621774000
agri_fire;2002;8;30;49372;Vieil-Baugé;NA;fourrage;hangar;800,0;ouest France;NA;2002-08-30;08-30;LE VIEIL-BAUGE;47,5209776407;-0,144289456956000
agri_fire;2002;9;2;22221;PLOUGUIEL;1,000;broussaille;NA;NA;ouest France;NA;2002-09-02;09-02;PLOUGUIEL;48,8047926753;-3,245495634700000
