nom_commune;code_insee;latitude;longitude
Bray-Dunes;59107;51,083333;2.516667
Zuydcoote;59668;51,066667;2.5
Dunkerque;59183;51,050000;2.366667
Dunkerque;59183;51,050000;2.366667
Ghyvelde;59260;51,050000;2.533333
Fort-Mardyck;59248;51,033333;2.3
Saint-Pol-sur-Mer;59540;51,033333;2.35
Coudekerque-Branche;59155;51,033333;2.4
Leffrinckoucke;59340;51,033333;2.466667
Grande-Synthe;59271;51,016667;2.283333
Téteghem;59588;51,016667;2.433333
Uxem;59605;51,016667;2.483333
Les Moëres;59404;51,016667;2.55
Gravelines;59273;50,983333;2.125
Loon-Plage;59359;50,983333;2.216667
Armbouts-Cappel;59016;50,983333;2.35
Hondschoote;59309;50,983333;2.583333
Hoymille;59319;50,983333;2.45
Warhem;59641;50,983333;2.5
Oye-Plage;62645;50,983333;2.05
Craywick;59159;50,966667;2.233333
Saint-Georges-sur-l'Aa;59532;50,966667;2.166667
Bergues;59067;50,966667;2.433333
Bierne;59082;50,966667;2.416667
Killem;59326;50,966667;2.566667
Spycker;59576;50,966667;2.316667
Saint-Folquin;62748;50,966667;2.133333
Bourbourg;59094;50,950000;2.2
Brouckerque;59110;50,950000;2.283333
Steene;59579;50,950000;2.383333
Calais;62193;50,950000;1.833333
Calais;62193;50,950000;1.833333
Marck;62548;50,950000;1.95
Offekerque;62634;50,950000;2.016667
Crochte;59162;50,933333;2.383333
Pitgam;59463;50,933333;2.333333
Quaëdypre;59478;50,933333;2.466667
Rexpoëde;59499;50,933333;2.533333
Socx;59570;50,933333;2.416667
West-Cappel;59657;50,933333;2.5
Coquelles;62239;50,933333;1.8
Sangatte;62774;50,933333;1.75
Nouvelle-Eglise;62623;50,933333;2.05
Saint-Omer-Capelle;62766;50,933333;2.1
Vieille-Eglise;62852;50,933333;2.083333
Bissezeele;59083;50,916667;2.416667
Looberghe;59358;50,916667;2.266667
Oost-Cappel;59448;50,916667;2.6
Wylder;59665;50,916667;2.5
Escalles;62307;50,916667;1.716667
Fréthun;62360;50,916667;1.816667
Peuplingues;62654;50,916667;1.766667
Coulogne;62244;50,916667;1.883333
Guemps;62393;50,916667;2
Bambecque;59046;50,900000;2.55
Drincham;59182;50,900000;2.316667
Eringhem;59200;50,900000;2.35
Saint-Pierre-Brouck;59539;50,900000;2.183333
Nielles-lès-Calais;62615;50,900000;1.833333
Les Attaques;62043;50,900000;1.933333
Sainte-Marie-Kerque;62756;50,900000;2.133333
Esquelbecq;59210;50,883333;2.433333
Herzeele;59305;50,883333;2.533333
Houtkerque;59318;50,883333;2.6
Wormhout;59663;50,883333;2.466667
Bonningues-lès-Calais;62156;50,883333;1.783333
Hames-Boucres;62408;50,883333;1.85
Hervelinghen;62444;50,883333;1.716667
Saint-Tricat;62769;50,883333;1.833333
Wissant;62899;50,883333;1.666667
Audruicq;62057;50,883333;2.083333
Nortkerque;62621;50,883333;2.033333
Bollezeele;59089;50,866667;2.333333
Merckeghem;59397;50,866667;2.283333
Andres;62031;50,866667;1.916667
Audembert;62052;50,866667;1.7
Guînes;62397;50,866667;1.866667
Pihen-lès-Guînes;62657;50,866667;1.783333
Saint-Inglevert;62751;50,866667;1.733333
Tardinghen;62806;50,866667;1.633333
Balinghem;62078;50,866667;1.95
Ruminghem;62730;50,866667;2.15
Holque;59307;50,850000;2.2
Ledringhem;59338;50,850000;2.433333
Millam;59402;50,850000;2.25
Audinghen;62054;50,850000;1.6
Landrethun-le-Nord;62487;50,850000;1.783333
Leubringhen;62503;50,850000;1.716667
Ardres;62038;50,850000;1.983333
Brêmes;62174;50,850000;1.966667
Muncq-Nieurlet;62598;50,850000;2.116667
Polincove;62662;50,850000;2.1
Zutkerque;62906;50,850000;2.066667
Arnèke;59018;50,833333;2.416667
Broxeele;59111;50,833333;2.316667
Oudezeele;59453;50,833333;2.516667
Rubrouck;59516;50,833333;2.35
Volckerinckhove;59628;50,833333;2.3
Watten;59647;50,833333;2.216667
Winnezeele;59662;50,833333;2.55
Wulverdinghe;59664;50,833333;2.25
Zermezeele;59667;50,833333;2.45
Bazinghen;62089;50,833333;1.666667
Caffiers;62191;50,833333;1.8
Campagne-lès-Guines;62203;50,833333;1.9
Ferques;62329;50,833333;1.766667
Fiennes;62334;50,833333;1.833333
Leulinghen-Bernes;62505;50,833333;1.716667
Autingues;62059;50,833333;1.983333
Louches;62531;50,833333;2
Nielles-lès-Ardres;62614;50,833333;2.016667
Recques-sur-Hem;62699;50,833333;2.083333
Rodelinghem;62716;50,833333;1.933333
Hardifort;59282;50,816667;2.483333
Lederzeele;59337;50,816667;2.283333
Ochtezeele;59443;50,816667;2.4
Audresselles;62056;50,816667;1.583333
Bouquehault;62161;50,816667;1.9
Marquise;62560;50,816667;1.7
Landrethun-lès-Ardres;62488;50,816667;1.966667
Nordausques;62618;50,816667;2.083333
Zouafques;62904;50,816667;2.05
Boeschepe;59086;50,800000;2.7
Buysscheure;59119;50,800000;2.333333
Cassel;59135;50,800000;2.483333
Godewaersvelde;59262;50,800000;2.65
Noordpeene;59436;50,800000;2.4
Saint-Momelin;59538;50,800000;2.25
Steenvoorde;59580;50,800000;2.583333
Terdeghem;59587;50,800000;2.533333
Wemaers-Cappel;59655;50,800000;2.45
Zuytpeene;59669;50,800000;2.433333
Ambleteuse;62025;50,800000;1.6
Beuvrequen;62125;50,800000;1.666667
Hardinghen;62412;50,800000;1.816667
Hermelinghen;62439;50,800000;1.85
Rety;62705;50,800000;1.766667
Rinxent;62711;50,800000;1.733333
Bayenghem-lès-Eperlecques;62087;50,800000;2.116667
Clerques;62228;50,800000;2
Eperlecques;62297;50,800000;2.15
Nort-Leulinghem;62622;50,800000;2.1
Houlle;62458;50,800000;2.166667
Serques;62792;50,800000;2.2
Halluin;59279;50,783333;3.133333
Bavinchove;59054;50,783333;2.466667
Eecke;59189;50,783333;2.6
Nieurlet;59433;50,783333;2.283333
Oxelaëre;59454;50,783333;2.483333
Sainte-Marie-Cappel;59536;50,783333;2.516667
Berthen;59073;50,783333;2.7
Alembon;62020;50,783333;1.883333
Licques;62506;50,783333;1.933333
Offrethun;62636;50,783333;1.683333
Sanghen;62775;50,783333;1.9
Wacquinghen;62867;50,783333;1.666667
Wierre-Effroy;62889;50,783333;1.733333
Audrehem;62055;50,783333;1.983333
Bonningues-lès-Ardres;62155;50,783333;2.016667
Moulle;62595;50,783333;2.183333
Comines;59152;50,766667;3.016667
Wervicq-Sud;59656;50,766667;3.05
Bousbecque;59098;50,766667;3.083333
Saint-Sylvestre-Cappel;59546;50,766667;2.55
Hondeghem;59308;50,766667;2.516667
Saint-Jans-Cappel;59535;50,766667;2.716667
Boursin;62167;50,766667;1.833333
Herbinghen;62432;50,766667;1.916667
Hocquinghen;62455;50,766667;1.933333
Maninghen-Henne;62546;50,766667;1.666667
Pittefaux;62658;50,766667;1.683333
Wimereux;62893;50,766667;1.616667
Wimille;62894;50,766667;1.633333
Clairmarais;62225;50,766667;2.3
Moringhem;62592;50,766667;2.133333
Salperwick;62772;50,766667;2.233333
Tilques;62819;50,766667;2.2
Neuville-en-Ferrain;59426;50,750000;3.15
Roncq;59508;50,750000;3.116667
Caëstre;59120;50,750000;2.6
Flêtre;59237;50,750000;2.65
Staple;59577;50,750000;2.45
Alquines;62024;50,750000;2
Bainghen;62076;50,750000;1.9
Belle-et-Houllefort;62105;50,750000;1.75
Boisdinghem;62149;50,750000;2.1
Colembert;62230;50,750000;1.833333
Le Wast;62880;50,750000;1.8
Nabringhen;62599;50,750000;1.866667
Quercamps;62675;50,750000;2.05
Zudausques;62905;50,750000;2.15
Conteville-lès-Boulogne;62237;50,750000;1.733333
Pernes-lès-Boulogne;62653;50,750000;1.7
Journy;62478;50,750000;1.983333
Rebergues;62692;50,750000;1.966667
Saint-Martin-au-Laërt;62757;50,750000;2.233333
Saint-Omer;62765;50,750000;2.25
Tatinghem;62807;50,750000;2.2
Deûlémont;59173;50,733333;2.95
Linselles;59352;50,733333;3.083333
Bailleul;59043;50,733333;2.733333
Borre;59091;50,733333;2.583333
Ebblinghem;59184;50,733333;2.4
Méteren;59401;50,733333;2.7
Pradelles;59469;50,733333;2.6
Renescure;59497;50,733333;2.366667
Wallon-Cappel;59634;50,733333;2.483333
Alincthun;62022;50,733333;1.8
Bellebrune;62104;50,733333;1.783333
Bouvelinghem;62169;50,733333;2.033333
Escoeuilles;62308;50,733333;1.933333
Leulinghem;62504;50,733333;2.166667
Longueville;62526;50,733333;1.883333
Quelmes;62674;50,733333;2.133333
Surques;62803;50,733333;1.916667
La Capelle-lès-Boulogne;62908;50,733333;1.7
Arques;62040;50,733333;2.283333
Longuenesse;62525;50,733333;2.233333
Quesnoy-sur-Deûle;59482;50,716667;3
Tourcoing;59599;50,716667;3.15
Tourcoing;59599;50,716667;3.15
Frelinghien;59252;50,716667;2.933333
Hazebrouck;59295;50,716667;2.533333
Lynde;59366;50,716667;2.416667
Merris;59399;50,716667;2.666667
Strazeele;59582;50,716667;2.633333
Brunembert;62179;50,716667;1.9
Hallines;62403;50,716667;2.216667
Henneveux;62429;50,716667;1.85
Setques;62794;50,716667;2.15
Wisques;62898;50,716667;2.2
Baincthun;62075;50,716667;1.683333
Boulogne-sur-Mer;62160;50,716667;1.616667
Saint-Martin-Boulogne;62758;50,716667;1.633333
Boulogne-sur-Mer;62160;50,716667;1.616667
Blendecques;62139;50,716667;2.266667
Campagne-lès-Wardrecques;62205;50,716667;2.333333
Wardrecques;62875;50,716667;2.35
Wizernes;62902;50,716667;2.233333
Roubaix;59512;50,700000;3.166667
Wattrelos;59650;50,700000;3.216667
Roubaix;59512;50,700000;3.166667
Wattrelos;59650;50,700000;3.216667
Bondues;59090;50,700000;3.1
Mouvaux;59421;50,700000;3.133333
Houplines;59317;50,700000;2.916667
Blaringhem;59084;50,700000;2.4
Morbecque;59416;50,700000;2.516667
Nieppe;59431;50,700000;2.833333
Sercus;59568;50,700000;2.45
Steenwerck;59581;50,700000;2.783333
Vieux-Berquin;59615;50,700000;2.633333
Bayenghem-lès-Seninghem;62088;50,700000;2.083333
Bournonville;62165;50,700000;1.85
Coulomby;62245;50,700000;2
Crémarest;62255;50,700000;1.783333
Esquerdes;62309;50,700000;2.183333
Lumbres;62534;50,700000;2.133333
Quesques;62678;50,700000;1.933333
Selles;62786;50,700000;1.9
Seninghem;62788;50,700000;2.033333
Echinghen;62281;50,700000;1.65
Le Portel;62667;50,700000;1.566667
Outreau;62643;50,700000;1.583333
Helfaut;62423;50,700000;2.25
Heuringhem;62452;50,700000;2.283333
Racquinghem;62684;50,700000;2.366667
Villeneuve-d'Ascq;59009;50,683333;3.141667
Verlinghem;59611;50,683333;3
Wambrechies;59636;50,683333;3.05
Leers;59339;50,683333;3.25
